region,mean_5g_penetration_pct,mean_traffic_gb,mean_cov_5g
North America,68.27964,11.9067254073989,95.15
Europe,36.81458536585366,18.37104257585753,80.03170731707317
East Asia & Pacific,34.8261285,13.760152991895753,61.055625
South & Southeast Asia,12.765525714285713,11.287948213524794,30.164285714285715
Middle East & North Africa,17.0126055,14.898252077331502,34.244375
Sub-Saharan Africa,2.5638253333333334,4.463028319557286,10.718333333333334
Latin America,6.127936,11.208838695103552,17.528421052631575
