Variable,N,Mean,SD,Min,Median,Max
Mobile traffic per subscription,806,8.75142977292454,8.575784736602273,0.0009467659759789699,6.381135552975039,59.54474855942333
Estimated 5G penetration rate,806,0.08581455705541771,0.14971365431842226,0.0,0.0,0.688896
Mobile broadband penetration,806,90.50965737766592,45.830410325670236,0.464209061864247,90.48386029468861,421.387663892088
Log GDP per capita,806,9.103112215688009,1.47056938769557,5.391009717748469,9.079495253215228,12.570720736081535
Urbanization rate,806,64.32889254270073,21.848475721985643,14.1703677185729,67.1335003517217,100.0
